staff_r,facilities_r,cleanliness_r,comfort_r,Value_for_money_r,location_r,Free_wifi,overall,hotel_name,value
9.6,9.0,9.5,9.4,8.6,9.3,9.2,9.0,Montien Hotel Surawong Bangkok - SHA Extra Plus,1.0
7.8,7.2,7.3,7.6,7.8,8.5,9.0,7.6,Thaiphiphat house,3.0
9.2,9.0,9.3,9.2,9.2,9.1,8.7,8.9,The Quarter Silom by UHG - SHA Extra Plus,6.0
9.0,7.9,8.5,8.3,8.5,8.6,10.0,8.3,Adamaz House,7.0
8.6,7.6,8.1,8.0,8.3,7.8,8.1,7.9,Solo Express Sukhumvit 81,8.0
8.5,8.3,9.1,8.8,8.7,8.7,7.1,8.4,Sereine Sukhumvit 39,9.0
8.6,8.0,8.3,8.2,8.1,8.3,7.6,8.1,Josh Hotel,10.0
8.9,8.5,9.0,9.1,9.0,8.6,6.2,8.8,RICO Hotel Ratchadapisek 32,11.0
9.1,8.1,8.9,8.4,9.2,8.9,8.3,8.7,Varinda Hostel,12.0
7.9,7.6,7.6,7.7,7.8,7.6,5.8,7.5,Vabua Asotel Bangkok,13.0
9.6,9.5,9.7,9.7,8.6,9.7,8.9,9.4,Siam Kempinski Hotel Bangkok - SHA Extra Plus Certified,14.0
8.6,8.5,9.1,8.9,8.7,7.5,9.2,8.5,Aspira Tropical Residence Thong Lor - SHA Certified,16.0
9.1,8.5,8.8,8.7,8.6,8.4,8.6,8.6,28 Place,17.0
6.2,6.0,6.3,6.6,6.9,6.2,8.0,5.9,OYO 271 The Resort Romklao,18.0
9.1,8.4,8.4,8.5,8.1,9.1,8.8,8.4,Arte Hotel - SHA Extra Plus,19.0
8.7,8.6,9.0,9.1,8.7,9.5,8.8,8.5,Mercure Bangkok Sukhumvit 24 - SHA Extra Plus,21.0
9.0,9.0,9.1,9.1,8.0,9.6,8.4,8.8,Grande Centre Point Hotel Terminal21 - SHA Extra Plus,22.0
9.2,8.5,9.0,8.9,8.7,9.3,8.0,8.7,Dinsomon Hotel,23.0
8.7,7.9,8.3,8.2,8.2,7.2,8.2,7.9,Alt Hotel Nana by UHG,24.0
8.9,8.5,8.7,8.7,8.5,8.8,8.3,8.5,De Prime@Rangnam,25.0
9.2,8.9,9.1,9.1,8.6,9.4,8.7,8.9,Adelphi Suites Bangkok - SHA Extra Plus,26.0
9.2,8.5,9.0,8.7,8.3,7.9,9.0,8.4,Le D'Tel Bangkok,27.0
8.3,7.8,8.1,8.1,8.2,8.2,5.8,8.1,Romance Hotel Bangna,28.0
8.5,8.0,8.4,8.2,8.2,8.5,7.7,8.1,Ibis Bangkok Riverside - SHA Extra Plus,29.0
9.1,8.6,8.9,8.9,8.2,8.5,8.6,8.6,Courtyard by Marriott Bangkok - SHA Extra Plus,30.0
9.0,8.8,9.0,8.9,8.9,9.0,7.8,8.8,Abloom Exclusive Serviced Apartments,31.0
7.9,6.9,7.2,7.2,7.1,7.8,6.2,7.2,Royal President Bangkok - SHA Extra Plus,32.0
8.3,7.0,7.3,7.3,7.3,9.1,10.0,7.5,China Town Hotel - SHA Plus Certified,33.0
8.0,7.4,7.6,7.8,6.8,8.5,6.4,7.6,Zenith Sukhumvit Hotel - SHA Extra Plus,34.0
8.6,8.1,8.5,8.4,8.4,7.7,8.5,8.1,Marigold Sukhumvit,35.0
9.5,9.4,9.6,9.6,9.6,9.2,8.3,9.4,RoomQuest Sukhumvit36 BTS Thonglor,36.0
8.0,7.8,8.3,8.3,8.0,8.8,7.1,8.0,24Residence Siriraj,38.0
9.3,8.5,8.9,8.9,8.4,8.3,8.3,8.6,The Raweekanlaya Bangkok,39.0
