staff_r,facilities_r,cleanliness_r,comfort_r,Value_for_money_r,location_r,Free_wifi,overall,hotel_name,Latitude,Longitude,value
9.6,9,9.5,9.4,8.6,9.3,9.2,9,Montien Hotel Surawong Bangkok - SHA Extra Plus,13.730542,100.5310982,1
7.8,7.2,7.3,7.6,7.8,8.5,9,7.6,Thaiphiphat house,13.7255192,100.5313095,3
9.2,9,9.3,9.2,9.2,9.1,8.7,8.9,The Quarter Silom by UHG - SHA Extra Plus,13.728463,100.5303535,6
9,7.9,8.5,8.3,8.5,8.6,10,8.3,Adamaz House,13.7626266,100.4973886,7
8.6,7.6,8.1,8,8.3,7.8,8.1,7.9,Solo Express Sukhumvit 81,13.7063093,100.605427,8
8.5,8.3,9.1,8.8,8.7,8.7,7.1,8.4,Sereine Sukhumvit 39,13.7334546,100.5707422,9
8.6,8,8.3,8.2,8.1,8.3,7.6,8.1,Josh Hotel,13.7836171,100.544108,10
8.9,8.5,9,9.1,9,8.6,6.2,8.8,RICO Hotel Ratchadapisek 32,13.8190466,100.5810152,11
9.1,8.1,8.9,8.4,9.2,8.9,8.3,8.7,Varinda Hostel,13.7226877,100.56147,12
7.9,7.6,7.6,7.7,7.8,7.6,5.8,7.5,Vabua Asotel Bangkok,13.7691898,100.6323458,13
9.6,9.5,9.7,9.7,8.6,9.7,8.9,9.4,Siam Kempinski Hotel Bangkok - SHA Extra Plus Certified,13.7486695,100.5352942,14
8.6,8.5,9.1,8.9,8.7,7.5,9.2,8.5,Aspira Tropical Residence Thong Lor - SHA Certified,13.7364421,100.5788563,16
9.1,8.5,8.8,8.7,8.6,8.4,8.6,8.6,28 Place,13.7240303,100.4602601,17
6.2,6,6.3,6.6,6.9,6.2,8,5.9,OYO 271 The Resort Romklao,,,18
9.1,8.4,8.4,8.5,8.1,9.1,8.8,8.4,Arte Hotel - SHA Extra Plus,13.7402496,100.5598941,19
8.7,8.6,9,9.1,8.7,9.5,8.8,8.5,Mercure Bangkok Sukhumvit 24 - SHA Extra Plus,13.729044,100.569537,21
9,9,9.1,9.1,8,9.6,8.4,8.8,Grande Centre Point Hotel Terminal21 - SHA Extra Plus,13.7376555,100.5606014,22
9.2,8.5,9,8.9,8.7,9.3,8,8.7,Dinsomon Hotel,13.7559776,100.5016022,23
8.7,7.9,8.3,8.2,8.2,7.2,8.2,7.9,Alt Hotel Nana by UHG,13.7350784,100.5522473,24
8.9,8.5,8.7,8.7,8.5,8.8,8.3,8.5,De Prime@Rangnam,13.759591,100.5401861,25
9.2,8.9,9.1,9.1,8.6,9.4,8.7,8.9,Adelphi Suites Bangkok - SHA Extra Plus,13.738969,100.5557719,26
9.2,8.5,9,8.7,8.3,7.9,9,8.4,Le D'Tel Bangkok,13.7199454,100.5383272,27
8.3,7.8,8.1,8.1,8.2,8.2,5.8,8.1,Romance Hotel Bangna,13.6754466,100.6429481,28
8.5,8,8.4,8.2,8.2,8.5,7.7,8.1,Ibis Bangkok Riverside - SHA Extra Plus,13.7176387,100.509499,29
9.1,8.6,8.9,8.9,8.2,8.5,8.6,8.6,Courtyard by Marriott Bangkok - SHA Extra Plus,13.7410243,100.5418976,30
9,8.8,9,8.9,8.9,9,7.8,8.8,Abloom Exclusive Serviced Apartments,13.773409,100.5410663,31
7.9,6.9,7.2,7.2,7.1,7.8,6.2,7.2,Royal President Bangkok - SHA Extra Plus,13.741516,100.558547,32
8.3,7,7.3,7.3,7.3,9.1,10,7.5,China Town Hotel - SHA Plus Certified,41.8523641,-87.63259,33
8,7.4,7.6,7.8,6.8,8.5,6.4,7.6,Zenith Sukhumvit Hotel - SHA Extra Plus,13.7449138,100.5532434,34
8.6,8.1,8.5,8.4,8.4,7.7,8.5,8.1,Marigold Sukhumvit,13.6517611,100.6000176,35
9.5,9.4,9.6,9.6,9.6,9.2,8.3,9.4,RoomQuest Sukhumvit36 BTS Thonglor,13.7188525,100.5754794,36
8,7.8,8.3,8.3,8,8.8,7.1,8,24Residence Siriraj,13.7559992,100.4807636,38
9.3,8.5,8.9,8.9,8.4,8.3,8.3,8.6,The Raweekanlaya Bangkok,13.767825,100.5050334,39
