staff_r,facilities_r,cleanliness_r,comfort_r,Value_for_money_r,location_r,Free_wifi,overall,hotel_name,Latitude,Longitude,value
9.7,9.1,9.6,9.6,9.2,9.0,8.2,9.1,"Wanderlust, The Unlimited Collection by Oakwood (SG Clean)",1.3050353,103.8546063,2
9.3,9.1,8.8,9.1,8.7,8.1,8.5,8.7,Grand Park City Hall (SG Clean),1.2923835,103.8501646,3
8.2,8.6,7.5,6.8,7.3,6.8,7.5,7.1,Lion Peak Hotel Bugis - Staycation Approved,1.2978929,103.8570701,5
8.1,7.8,8.6,8.1,7.7,8.4,2.5,7.2,ST Signature Jalan Besar (7 hours: 9AM-4PM),1.3054625,103.8548544,6
8.6,8.6,8.0,7.5,7.6,7.3,7.2,7.5,"Check-Inn at Little India - SG Clean, Staycation Approved",1.3076092,103.8506788,7
9.1,9.1,8.3,8.2,7.8,7.7,9.4,8.4,Century Service World,1.2811261,103.8432686,8
9.3,9.0,8.8,9.1,8.8,8.3,8.7,8.7,Ascott Orchard Singapore,1.3040188,103.8371582,9
8.2,8.6,8.9,8.6,8.0,8.2,8.9,8.1,D'Hotel Singapore,1.2842772,103.8349773,10
8.3,8.1,7.6,7.2,7.2,7.0,6.7,7.4,Rucksack Inn at Tyrwhitt,1.3143551,103.8603635,11
7.9,7.9,7.1,6.8,7.0,6.6,6.9,6.7,"Harbour Ville Hotel - Hamilton (SG Clean, Staycation Approved)",1.311666,103.8614966,12
7.2,7.6,6.9,5.6,5.7,5.7,7.5,6.4,Joyfor Backpackers' Hostel (SG Clean),1.311202,103.8740079,13
8.4,7.6,7.2,7.7,7.9,7.9,6.6,7.0,K Space Inn 569,1.315587,103.858168,14
7.3,6.8,7.4,7.1,6.8,7.6,6.2,6.4,"ST Signature Bugis Beach [5 Hours, 9AM-2PM] (SG Clean, Staycation Approved)",1.2972645,103.856638,15
7.3,6.8,7.2,7.1,7.2,8.3,7.5,6.2,K Space Inn 14,1.2875983,103.8490247,16
7.8,6.6,7.0,6.8,7.0,8.6,6.8,7.0,"Tai Hoe Hotel (SG Clean, Staycation Approved)",1.3102778,103.8566667,17
7.7,7.3,7.6,6.8,7.2,6.7,9.0,6.9,"Q Loft Hotels@Bedok (SG Clean, Staycation Approved)",1.3315894,103.9471647,19
6.3,5.0,5.1,5.1,5.5,6.4,6.6,5.0,K Hotel 14 (SG Clean),1.3112033,103.8775632,20
7.5,7.8,7.0,7.0,7.0,6.8,7.4,6.7,J8 Hotel (SG Clean),1.3076071,103.8584645,24
9.6,9.0,9.5,9.4,8.6,9.3,9.2,9.0,Montien Hotel Surawong Bangkok - SHA Extra Plus,13.730542,100.5310982,1
7.8,7.2,7.3,7.6,7.8,8.5,9.0,7.6,Thaiphiphat house,13.7255192,100.5313095,3
9.2,9.0,9.3,9.2,9.2,9.1,8.7,8.9,The Quarter Silom by UHG - SHA Extra Plus,13.728463,100.5303535,6
9.0,7.9,8.5,8.3,8.5,8.6,10.0,8.3,Adamaz House,13.7626266,100.4973886,7
8.6,7.6,8.1,8.0,8.3,7.8,8.1,7.9,Solo Express Sukhumvit 81,13.7063093,100.605427,8
8.5,8.3,9.1,8.8,8.7,8.7,7.1,8.4,Sereine Sukhumvit 39,13.7334546,100.5707422,9
8.6,8.0,8.3,8.2,8.1,8.3,7.6,8.1,Josh Hotel,13.7836171,100.544108,10
8.9,8.5,9.0,9.1,9.0,8.6,6.2,8.8,RICO Hotel Ratchadapisek 32,13.8190466,100.5810152,11
9.1,8.1,8.9,8.4,9.2,8.9,8.3,8.7,Varinda Hostel,13.7226877,100.56147,12
7.9,7.6,7.6,7.7,7.8,7.6,5.8,7.5,Vabua Asotel Bangkok,13.7691898,100.6323458,13
9.6,9.5,9.7,9.7,8.6,9.7,8.9,9.4,Siam Kempinski Hotel Bangkok - SHA Extra Plus Certified,13.7486695,100.5352942,14
8.6,8.5,9.1,8.9,8.7,7.5,9.2,8.5,Aspira Tropical Residence Thong Lor - SHA Certified,13.7364421,100.5788563,16
9.1,8.5,8.8,8.7,8.6,8.4,8.6,8.6,28 Place,13.7240303,100.4602601,17
6.2,6.0,6.3,6.6,6.9,6.2,8.0,5.9,OYO 271 The Resort Romklao,,,18
9.1,8.4,8.4,8.5,8.1,9.1,8.8,8.4,Arte Hotel - SHA Extra Plus,13.7402496,100.5598941,19
8.7,8.6,9.0,9.1,8.7,9.5,8.8,8.5,Mercure Bangkok Sukhumvit 24 - SHA Extra Plus,13.729044,100.569537,21
9.0,9.0,9.1,9.1,8.0,9.6,8.4,8.8,Grande Centre Point Hotel Terminal21 - SHA Extra Plus,13.7376555,100.5606014,22
9.2,8.5,9.0,8.9,8.7,9.3,8.0,8.7,Dinsomon Hotel,13.7559776,100.5016022,23
8.7,7.9,8.3,8.2,8.2,7.2,8.2,7.9,Alt Hotel Nana by UHG,13.7350784,100.5522473,24
8.9,8.5,8.7,8.7,8.5,8.8,8.3,8.5,De Prime@Rangnam,13.759591,100.5401861,25
9.2,8.9,9.1,9.1,8.6,9.4,8.7,8.9,Adelphi Suites Bangkok - SHA Extra Plus,13.738969,100.5557719,26
9.2,8.5,9.0,8.7,8.3,7.9,9.0,8.4,Le D'Tel Bangkok,13.7199454,100.5383272,27
8.3,7.8,8.1,8.1,8.2,8.2,5.8,8.1,Romance Hotel Bangna,13.6754466,100.6429481,28
8.5,8.0,8.4,8.2,8.2,8.5,7.7,8.1,Ibis Bangkok Riverside - SHA Extra Plus,13.7176387,100.509499,29
9.1,8.6,8.9,8.9,8.2,8.5,8.6,8.6,Courtyard by Marriott Bangkok - SHA Extra Plus,13.7410243,100.5418976,30
9.0,8.8,9.0,8.9,8.9,9.0,7.8,8.8,Abloom Exclusive Serviced Apartments,13.773409,100.5410663,31
