staff_r,facilities_r,cleanliness_r,comfort_r,Value_for_money_r,location_r,Free_wifi,overall,hotel_name,value,Longitude,Latitude
8.9,9.0,8.8,9.0,8.8,8.7,8.8,8.6,Somerset Kuala Lumpur,2.0,101.7230102,3.1600079
7.9,5.8,6.4,6.3,6.6,7.8,7.1,6.1,Fast Hotel Setapak,4.0,,
8.8,8.2,8.1,8.4,8.6,9.3,7.2,8.2,Better Residence Suite at Times Square KL,5.0,,
6.7,7.0,6.1,6.5,6.0,6.0,6.0,5.7,LEO Express Hotel,15.0,-79.005133,-2.8956267
8.9,8.8,8.6,8.8,8.6,8.6,8.4,8.5,Saba Suites at Platinum KLCC Bukit Bintang Kuala Lumpur,19.0,,
9.1,9.0,9.3,9.3,9.3,9.2,8.3,8.9,Ceylonz Seasonal Suites,20.0,,
7.5,7.5,7.0,7.5,7.5,7.8,7.5,7.0,KL Gateway Bangsar By Sleepy Bear,23.0,,
9.1,9.3,9.3,9.4,8.9,9.8,10.0,9.3,Tropicana Residence KLCC @ Getaway Home Suite,27.0,,
8.9,8.2,8.5,8.5,8.5,8.9,9.2,8.2,Sky Suites KL City Centre,29.0,,
7.4,7.6,7.1,7.2,7.2,6.8,6.5,6.7,Regalia Suites & Hotel,30.0,,
7.4,6.0,6.6,6.4,6.3,6.9,6.2,5.7,Arte Plus By Dreamscape KLCC,32.0,,
8.9,8.3,8.1,8.0,7.8,7.5,8.4,7.7,My Hotel @ Sentral,34.0,101.6882079,3.1320949
9.6,9.2,9.1,9.5,9.0,9.4,8.3,9.3,Monkey Mansion Jalan Ipoh,35.0,,
8.3,8.2,8.5,8.6,8.4,8.8,8.8,8.2,Vortex KLCC Apartments,36.0,,
8.0,6.9,6.8,7.5,7.6,8.5,10.0,6.7,Lexus Service Suite,38.0,,
7.5,8.4,7.9,8.0,7.9,7.5,7.5,7.6,City Comfort Hotel Kuala Lumpur City Center (Bukit Bintang),7.0,,
6.2,4.8,5.6,5.6,5.7,6.9,4.2,5.2,1 Hotel Kuchai Lama,8.0,,
8.8,8.6,8.3,8.6,8.4,8.4,8.7,8.2,The Platinum Suites Kuala Lumpur by LUMA,9.0,,
7.2,6.2,6.7,6.4,6.6,7.4,5.0,6.3,1 Hotel Mahkota Cheras,11.0,,
9.7,8.6,8.9,8.6,9.2,9.2,8.6,8.9,Hotel 1000 Miles,12.0,101.6979838,3.1490546
7.4,7.6,7.1,7.2,7.2,6.8,6.5,6.7,Regalia Suites & Hotel,13.0,,
9.0,7.5,8.0,7.8,8.3,9.2,10.0,8.1,Nan Yeang Hotel,16.0,101.6986988,3.1441661
8.6,8.7,8.8,8.7,8.7,9.1,9.4,8.5,Platinum Suites KLCC by SS Residence,18.0,,
9.2,8.6,8.3,8.7,8.2,8.1,8.8,8.3,Amethyst Love Guesthouse,19.0,,
8.6,8.4,8.7,8.5,8.5,9.1,10.0,8.4,Sky Suites KLCC by White Forest Suites,22.0,,
8.1,8.3,8.4,8.4,8.3,8.0,7.3,7.8,Greystone D'Majestic Place,24.0,,
8.5,7.9,8.3,8.4,8.0,8.5,7.5,7.9,St Nomad M-City Ampang KLCC,25.0,,
8.7,8.6,8.3,8.5,8.6,8.2,8.2,8.1,Seeds Hotel Ampang Point,28.0,,
8.7,8.4,8.7,8.6,8.5,8.6,8.8,8.4,Boulevard Service Apartment at Jalan Kuching,30.0,,
8.5,6.7,7.3,6.9,7.3,7.0,5.0,6.8,Marhaban Service Suite @ Times Square KL,32.0,,
8.2,8.2,7.9,8.1,7.9,7.7,8.2,7.5,"Leo Palace New Wing, WTC Kuala Lumpur",36.0,,
8.0,6.9,6.8,7.5,7.6,8.5,10.0,6.7,Lexus Service Suite,37.0,,
7.8,7.6,7.6,7.9,7.9,8.7,8.8,7.8,Binjai 8 KLCC @ De Space Suite,1.0,,
8.8,8.9,8.9,8.6,8.7,8.5,8.2,8.5,THE FACE Suites,2.0,101.70390665328816,3.1587152
8.1,7.5,7.9,8.1,7.8,7.5,10.0,7.2,D'Majestic Premier Suites Kuala Lumpur,4.0,,
8.7,7.8,8.0,7.8,8.3,8.9,10.0,7.6,Greystone Swiss Garden Residence,9.0,,
8.3,7.3,7.6,7.7,7.4,7.6,7.1,7.1,Arte Plus KLCC By DreamScape,11.0,,
9.2,9.0,9.4,9.5,9.3,9.0,10.0,9.0,Aurora Pavilion Bukit Jalil by Ody Suites,14.0,,
8.1,7.1,6.8,7.4,6.9,6.6,7.0,6.7,My Hotel @ Bukit Bintang,5.0,101.7059438,3.1446066
8.7,8.4,8.2,8.5,8.6,8.3,8.2,8.0,Dorsett Sri Hartamas KL by Roam,12.0,,
9.0,8.5,8.7,8.7,8.5,8.4,9.4,8.3,Platinum Serviced Suite Klcc,15.0,,
9.2,9.2,9.5,9.8,9.8,9.8,10.0,9.2,Revo Home at Pavilion Bukit Jalil,18.0,,
8.9,9.0,8.8,9.0,8.8,8.7,8.8,8.6,Somerset Kuala Lumpur,19.0,101.7230102,3.1600079
8.0,7.6,7.3,7.1,7.2,6.8,7.3,6.8,Hotel Gulshan,20.0,88.6037136,24.3735837
8.1,7.7,8.0,7.9,8.1,8.4,7.6,7.6,Swiss Garden Residence Kuala Lumpur,21.0,,
8.6,8.7,8.8,8.7,8.7,9.1,9.4,8.5,Platinum Suites KLCC by SS Residence,22.0,,
8.9,7.6,7.8,7.8,7.8,7.5,7.2,7.6,Bintang Service Suite at Times Square,23.0,,
7.7,7.3,6.9,7.0,7.0,6.6,6.6,6.6,Cairnhill Hotel Kuala Lumpur,26.0,101.6804164,3.18266245
8.4,8.5,8.7,8.5,8.5,9.1,7.5,8.5,Dorsett Bukit Bintang Residence by De Space,34.0,,
8.6,8.0,8.4,8.4,8.4,8.9,8.4,8.0,NU Hotel @ KL Sentral,37.0,,
