staff_r,facilities_r,cleanliness_r,comfort_r,Value_for_money_r,location_r,Free_wifi,overall,hotel_name,Latitude,Longitude,value
8.9,9,8.8,9,8.8,8.7,8.8,8.6,Somerset Kuala Lumpur,3.160067,101.722926,2
7.9,5.8,6.4,6.3,6.6,7.8,7.1,6.1,Fast Hotel Setapak,3.206346,101.720443,4
8.8,8.2,8.1,8.4,8.6,9.3,7.2,8.2,Better Residence Suite at Times Square KL,3.1422541,101.7097614,5
6.7,7,6.1,6.5,6,6,6,5.7,LEO Express Hotel,3.1291667,101.7122222,15
8.9,8.8,8.6,8.8,8.6,8.6,8.4,8.5,Saba Suites at Platinum KLCC Bukit Bintang Kuala Lumpur,3.1586786,101.7040718,19
9.1,9,9.3,9.3,9.3,9.2,8.3,8.9,Ceylonz Seasonal Suites,3.1485558,101.7020491,20
7.5,7.5,7,7.5,7.5,7.8,7.5,7,KL Gateway Bangsar By Sleepy Bear,3.139003,101.686855,23
9.1,9.3,9.3,9.4,8.9,9.8,10,9.3,Tropicana Residence KLCC @ Getaway Home Suite,3.158464,101.7094092,27
8.9,8.2,8.5,8.5,8.5,8.9,9.2,8.2,Sky Suites KL City Centre,3.1562857,101.7095228,29
7.4,7.6,7.1,7.2,7.2,6.8,6.5,6.7,Regalia Suites & Hotel,3.164323,101.6926789,30
7.4,6,6.6,6.4,6.3,6.9,6.2,5.7,Arte Plus By Dreamscape KLCC,3.1619744,101.7477972,32
8.9,8.3,8.1,8,7.8,7.5,8.4,7.7,My Hotel @ Sentral,3.1333155,101.6889884,34
9.6,9.2,9.1,9.5,9,9.4,8.3,9.3,Monkey Mansion Jalan Ipoh,3.1759356,101.6840552,35
8.3,8.2,8.5,8.6,8.4,8.8,8.8,8.2,Vortex KLCC Apartments,3.1545986,101.7072092,36
8,6.9,6.8,7.5,7.6,8.5,10,6.7,Lexus Service Suite,3.14238,101.71044,38
7.5,8.4,7.9,8,7.9,7.5,7.5,7.6,City Comfort Hotel Kuala Lumpur City Center (Bukit Bintang),3.1395619,101.7134792,7
6.2,4.8,5.6,5.6,5.7,6.9,4.2,5.2,1 Hotel Kuchai Lama,3.085168,101.691334,8
8.8,8.6,8.3,8.6,8.4,8.4,8.7,8.2,The Platinum Suites Kuala Lumpur by LUMA,3.1585579,101.7037877,9
7.2,6.2,6.7,6.4,6.6,7.4,5,6.3,1 Hotel Mahkota Cheras,3.051854,101.780452,11
9.7,8.6,8.9,8.6,9.2,9.2,8.6,8.9,Hotel 1000 Miles,3.1490616,101.6979285,12
7.4,7.6,7.1,7.2,7.2,6.8,6.5,6.7,Regalia Suites & Hotel,3.164323,101.6926789,13
9,7.5,8,7.8,8.3,9.2,10,8.1,Nan Yeang Hotel,3.1441256,101.6986816,16
8.6,8.7,8.8,8.7,8.7,9.1,9.4,8.5,Platinum Suites KLCC by SS Residence,3.158689,101.7040495,18
9.2,8.6,8.3,8.7,8.2,8.1,8.8,8.3,Amethyst Love Guesthouse,3.1463519,101.7084401,19
8.6,8.4,8.7,8.5,8.5,9.1,10,8.4,Sky Suites KLCC by White Forest Suites,3.1562857,101.7095228,22
8.1,8.3,8.4,8.4,8.3,8,7.3,7.8,Greystone D'Majestic Place,3.1367571,101.7117417,24
