"10","July 2019","Exceptional","Liked
 · Great little gem of a hotel and location",0,"Prince Theatre Heritage Stay
Opens in new window"
"10","January 2022","Exceptional","Liked
 · Beautiful, interesting place to stay. Great breakfast, nice room, good location.",0,"Prince Theatre Heritage Stay
Opens in new window"
"10","December 2019","PRINCE THEATRE Stay.","Liked
 · Everything.. I didn't book with breakfast but bought at the hotel and the continental breakie was great which came with toast egg and cornflakes including water and a juice.. Which my kids could share.. The smoothie bowl was Devine and very filling.. The staff were super helpful and accommodating.. A special shout out to Nop who after our transfer canceled van he hired a grab for us and even spoke to the driver to advise exactly where he should drop us off in Pattaya.. After checkout they kindly advised we would be more than welcome to wait.. My kids loved the hostel vibe of the rooms which also had a private shower and bathroom.. The wifi was awesome and super quick.. The place is very quirky with lots of charm.. It's easy to get a tuk Tuk to take you to the tourist spots in Bangkok. Loved the theme of old movie glam of the hotel and they also played movies for the guest..Disliked
 · There is nothing I didn't like.. The place was perfect for our group of 5 as well as for our short 2 day stay.",0,"Prince Theatre Heritage Stay
Opens in new window"
"9.6","February 2020","Exceptional","Liked
 · A different kind of place to stay with a free classic film shown most evenings 
Set back off the street, so a quiet place just steps away from street vendors 
Staff are very friendly and helpfulDisliked
 · I stayed in one of the master suites. The room was lovely but the bathroom, despite the two hand basins seemed more appropriate for a hostel. If that was upgraded well it would be perfect. I’d still stay there again though",0,"Prince Theatre Heritage Stay
Opens in new window"
"8.3","January 2020","Friendly staff and a comfortable stay","Liked
 · Staff were very helpful and friendly. The room is clean with comfortable bed. We enjoyed staying at the spacious lobby with tall ceiling and a big theater stage.Disliked
 · Bathroom has a bad smell",0,"Prince Theatre Heritage Stay
Opens in new window"
"10","January 2020","👍👍👍👍","Liked
 · I like everything about the place. Good and kind staff, clean place, good location, very near train station and local food is right outside. a lot of seven eleven and mall. ❤❤❤Disliked
 · It's not that I did not like it, but it's more of ""i had enough"" kind of feeling. stayed there for almost a week, and the breakfast was the same. But it was decent.",0,"Prince Theatre Heritage Stay
Opens in new window"
"9.0","January 2020","Excellent for a night with friends in Bangkok","Liked
 · Good money for value! Nice staff, excellent wifi connection, nice room for a group for one or two nights, great lobby, nice atmosphere.
They kindly order a taxi for us at a fair priceDisliked
 · Nothing",0,"Prince Theatre Heritage Stay
Opens in new window"
"10","January 2020","Exceptional","Liked
 · Definitely one of the best places to stay in Bangkok",0,"Prince Theatre Heritage Stay
Opens in new window"
"9.0","December 2019","Highly recommend staying at Prince Theatre Heritage. Great location for enjoying Bangkok!","Liked
 · Breakfast was good- very simple but adequate. Excellent coffee options included. The staff was really helpful with how to find places around town. Great bathroom facilities. Loved the theater decor and the movie shown in the evening, along with popcorn. Great location with night market nearby.Disliked
 · The rooms were as described, but in close quarters. There was no place to sit, other than inside your bed compartment, or downstairs in the common area. But who goes to Thailand to sit in their hotel?",0,"Prince Theatre Heritage Stay
Opens in new window"
"9.0","December 2019","Had a nice stay...will recommend","Liked
 · Comfy bed and clean roomsDisliked
 · Hotel was hard to find",0,"Prince Theatre Heritage Stay
Opens in new window"
"7.5","December 2019","Good value for money","Liked
 · Good Location
Rooms Clean 
WiFi excellent
Service was good with a smile",0,"Prince Theatre Heritage Stay
Opens in new window"
"9.6","December 2019","Exceptional","Liked
 · Da simpatia do staff",0,"Prince Theatre Heritage Stay
Opens in new window"
"8.8","December 2019","Fabulous","Liked
 · The great location with a lot of great street food around.Disliked
 · The irrigation in shower and toilet is not good. It’s messy when the floor get wet.",0,"Prince Theatre Heritage Stay
Opens in new window"
"10","December 2019","Exceptional","Liked
 · Clean room. Friendly and friendly staff. Delicious breakfast.",0,"Prince Theatre Heritage Stay
Opens in new window"
"8.0","November 2019","Very good","Liked
 · Nice place, close to train and ferry station, jut take around 10 minutes, not tourist place so quiet and experienced local atmosphere. The staff is friendly and helpful. The room is clean and good secured. there is food market in the evening, we love to enjoy the street food there.Disliked
 · There is smoke in the restaurant area which make we feel like something on fire, or afraid of impacting to our health",0,"Prince Theatre Heritage Stay
Opens in new window"
"10","November 2019","Fantastic boutique accommodation option for families","Liked
 · Friendly staff
Great location close to Sathorn pier, BTS, and fantastic food options 
Spacious and clean bathrooms
Comfortable beds
Great bar and lounge area
Kid friendly",0,"Prince Theatre Heritage Stay
Opens in new window"
"9.6","October 2019","Exceptional","Liked
 · Very cool concept, clean and with great common areas, the bed was confortable and the staff very kind and friendly. A great choricero to stay in Bangkok!! I am sorry that i didn’t had more time to stay thereDisliked
 · Basic breakfast, but ok",0,"Prince Theatre Heritage Stay
Opens in new window"
"8.3","October 2019","Very good","Liked
 · It is quite a unique concept, being in an old theatre. Our children loved having their own cubicles. 
Breakfast was very good - 3 simple choices done well. The pork congee was excellent and the smoothie bowl perfect for a healthy breakfast - with no oats, great!",0,"Prince Theatre Heritage Stay
Opens in new window"
"10","October 2019","Fantastic stay and will stay again in the future","Liked
 · Jok prince for breakfast and the rooms and bed is very comfortable.
Plus point the air con is cold :)Disliked
 · None",0,"Prince Theatre Heritage Stay
Opens in new window"
"10","September 2019","Exceptional","Liked
 · The staff were all kind.",0,"Prince Theatre Heritage Stay
Opens in new window"
"10","September 2019","A great place to stay!","Liked
 · I have experienced many hostel but I’m really impressed with this place. The staffs are super friendly and helpful during our trip. Even when we have check out, they still help us carrying our luggages (which is super heavy and bulky 😭) the room is clean and in good condition although it kinda small. I’ll definitely booking Prince Theatre Heritage Stay again for my next trip in Bangkok (which will be soon) 
Thank u so much for always welcoming us 💙Disliked
 · Nothing, they are great already!",0,"Prince Theatre Heritage Stay
Opens in new window"
"10","September 2019","Exceptional","Liked
 · Coffee’s great and the receptionists are nice and helpful !",0,"Prince Theatre Heritage Stay
Opens in new window"
"7.5","August 2019","Hostel like rooms in a hotel","Liked
 · We are a group of 6 travelling round Thailand, our room had 6 individual pods which we did like as it was very private for each person however we didn’t realise the location was quite far away from khao san Road and the temples.
The only good thing about it was the sky bar nearby with good viewsDisliked
 · Food wasn’t great, I’d eat our preferably or go to the 7/11 down the road.",0,"Prince Theatre Heritage Stay
Opens in new window"
"9.2","September 2019","Great place to stay if you are visiting","Liked
 · Comfortable bed. Clean and well maintained. Great location to be staying at.Disliked
 · Drainage in bathroom was not properly done. Pool of water on the floor.",0,"Prince Theatre Heritage Stay
Opens in new window"
"10","September 2019","Exceptional","Liked
 · Design is coolDisliked
 · No aircond remote control",0,"Prince Theatre Heritage Stay
Opens in new window"
"10","August 2019","Overall, the stay is very worthy and value for money.","Liked
 · The staffs are very friendly and helpful. The rooms are very neat and comfortable. The ambient is clean and cozy.Disliked
 · It does not have a good soundproof.",0,"Prince Theatre Heritage Stay
Opens in new window"
"9.6","August 2019","Amazingly unique.","Liked
 · Absolutely amazing stay, I stayed in a dormitory with my husband and children aged 16 & 8 years. The dorm had two double beds and two single beds and our own private bathroom. Excellent location, I have never stayed anywhere like this before. Completely unique experience, hostel had everything we needed. Staff were brilliant, my Husband got his phone stolen one evening we were out exploring and when we returned to the hostel and informed a staff member they walked my Husband to the local police station and also translated for us.
 I hope to return in the future, thank you for an enjoyable stay.Disliked
 · The only negative that I would have to say was the mould in the shower and the foul smell coming up from the drain in the bathroom when you took a shower. There were also a lot of drain flies in our bathroom which was a little annoying but did not stop us having an amazing time here.",0,"Prince Theatre Heritage Stay
Opens in new window"
"8.8","August 2019","Fabulous","Liked
 · Breakfast (not included but can be bought on the premises), family room is comfortable",0,"Prince Theatre Heritage Stay
Opens in new window"
"9.6","August 2019","Exceptional","Liked
 · The staffs really nice. Love the decoration here. Highly recommended. I’ll comeback here when I visit Bangkok again.Disliked
 · The air conditioner can’t be modified, feel a bit inconvenient for us because it was too cold.",0,"Prince Theatre Heritage Stay
Opens in new window"
"7.9","August 2019","Good","Liked
 · This is a good place to stay when you are backpacking.
The staff is friendly.",0,"Prince Theatre Heritage Stay
Opens in new window"
"10","August 2019","Quirky and great value for money","Liked
 · The location, value for money for the family was excellent.Disliked
 · The bar was not open when it said it was and the breakfast took ages as it is made to order.",0,"Prince Theatre Heritage Stay
Opens in new window"
"9.6","August 2019","Exceptional","Liked
 · EVERYTHING 
THE ARTISTIC WAY OF DOING 
THE FOOD 
THE MOVIE EVERY NIGHT
❤❤❤Disliked
 · The smell of the nighbourhood of the hotel",0,"Prince Theatre Heritage Stay
Opens in new window"
"9.2","August 2019","Nice location with clean room and fair price","Liked
 · Comfortable bed, nice location. Hostel has free popcorn which is my son's favourite. The location is near BTS and Pier, street food just walk in distance, convenient and delicious.Disliked
 · Nothing",0,"Prince Theatre Heritage Stay
Opens in new window"
"8.8","July 2019","Cheap and cheerful!","Liked
 · Movie plays every night. Wonderfully friendly bar staff. Great with our children.Disliked
 · Not thoroughly cleaned. Floor was dirty and when we asked them to clean it this wasn’t very thorough.",0,"Prince Theatre Heritage Stay
Opens in new window"
"10","July 2019","Unusual, clean and arty accommodation","Liked
 · Very clean, comfortable beds, cinema in lobby, good locationDisliked
 · A little hard to maneuvre with suitcases. No real guest lounge aside from restaurant available to public.",0,"Prince Theatre Heritage Stay
Opens in new window"
"10","July 2019","Prince Heritage was a great value with wonderful staff members and very clean rooms.","Liked
 · Great location! Very clean. I would highly recommend!",0,"Prince Theatre Heritage Stay
Opens in new window"
"8.3","July 2019","Very good","Liked
 · The location is good, near BTS to travel. The facility is really nice and cute for group of friends. I booked a month before the trip, the price is very cheap.Disliked
 · I am not sure about the other rooms, but our room is smell, especially in the rest room. It is not uncomfortable every time we use.",0,"Prince Theatre Heritage Stay
Opens in new window"
"9.6","July 2019","Awesome Hospitality","Liked
 · Staff was very friendly and helpful. Great location, close to Sathorn Pier & BTS. Great value for money. Would stay again!Disliked
 · Bathrooms could be cleaned more..",0,"Prince Theatre Heritage Stay
Opens in new window"
"10","July 2019","Unique, fun, classy hotel in a great location in Bangkok","Liked
 · They play classic movies every night on the giant projection screen in the lobby. A perfect touch for a converted cinema!Disliked
 · Everything was great we have no negatives about staying here",0,"Prince Theatre Heritage Stay
Opens in new window"
"10","July 2019","Superb!","Liked
 · The atmosphere was great and wonderful! Free movie, popcorns and also a piano for us to play with! BTS station and the pier were just of walking distance and around the hotel, there a lot of local food !! ❤️ the friendly staffs are very helpful and lovely!!!Disliked
 · Maybe can prepare water dispenser so that we could fill up drinking water on our own and not to disturb the staff 🤣",0,"Prince Theatre Heritage Stay
Opens in new window"
"10","July 2019","Had a great stay in this hotel and in Thailand!","Liked
 · Friendly and accommodating staffs. They contacted and booked a taxi for our city and Pattaya tour.
Unique theme of a hotelDisliked
 · Small rooms but still great value of your money",0,"Prince Theatre Heritage Stay
Opens in new window"
"10","July 2019","Exceptional","Liked
 · All!",0,"Prince Theatre Heritage Stay
Opens in new window"
"7.9","July 2019","Good","Liked
 · The staffs were very friendly. As I arrived at midnight, your preparation was excellent and flexible. I haven't had a chance to taste the food in the hotel but I am sure it would be delicious. Thank you for your warmly welcome.Disliked
 · If your reception could be open 24/24, that would be great!",0,"Prince Theatre Heritage Stay
Opens in new window"
