staff_r,facilities_r,cleanliness_r,comfort_r,Value_for_money_r,location_r,Free_wifi,overall,hotel_name,value
9.7,9.1,9.6,9.6,9.2,9.0,8.2,9.1,"Wanderlust, The Unlimited Collection by Oakwood (SG Clean)",2.0
9.3,9.1,8.8,9.1,8.7,8.1,8.5,8.7,Grand Park City Hall (SG Clean),3.0
8.2,8.6,7.5,6.8,7.3,6.8,7.5,7.1,Lion Peak Hotel Bugis - Staycation Approved,5.0
8.1,7.8,8.6,8.1,7.7,8.4,2.5,7.2,ST Signature Jalan Besar (7 hours: 9AM-4PM),6.0
8.6,8.6,8.0,7.5,7.6,7.3,7.2,7.5,"Check-Inn at Little India - SG Clean, Staycation Approved",7.0
9.1,9.1,8.3,8.2,7.8,7.7,9.4,8.4,Century Service World,8.0
9.3,9.0,8.8,9.1,8.8,8.3,8.7,8.7,Ascott Orchard Singapore,9.0
8.2,8.6,8.9,8.6,8.0,8.2,8.9,8.1,D'Hotel Singapore,10.0
8.3,8.1,7.6,7.2,7.2,7.0,6.7,7.4,Rucksack Inn at Tyrwhitt,11.0
7.9,7.9,7.1,6.8,7.0,6.6,6.9,6.7,"Harbour Ville Hotel - Hamilton (SG Clean, Staycation Approved)",12.0
7.2,7.6,6.9,5.6,5.7,5.7,7.5,6.4,Joyfor Backpackers' Hostel (SG Clean),13.0
8.4,7.6,7.2,7.7,7.9,7.9,6.6,7.0,K Space Inn 569,14.0
7.3,6.8,7.4,7.1,6.8,7.6,6.2,6.4,"ST Signature Bugis Beach [5 Hours, 9AM-2PM] (SG Clean, Staycation Approved)",15.0
7.3,6.8,7.2,7.1,7.2,8.3,7.5,6.2,K Space Inn 14,16.0
7.8,6.6,7.0,6.8,7.0,8.6,6.8,7.0,"Tai Hoe Hotel (SG Clean, Staycation Approved)",17.0
7.7,7.3,7.6,6.8,7.2,6.7,9.0,6.9,"Q Loft Hotels@Bedok (SG Clean, Staycation Approved)",19.0
6.3,5.0,5.1,5.1,5.5,6.4,6.6,5.0,K Hotel 14 (SG Clean),20.0
7.5,7.8,7.0,7.0,7.0,6.8,7.4,6.7,J8 Hotel (SG Clean),24.0
