staff_r,facilities_r,cleanliness_r,comfort_r,Value_for_money_r,location_r,Free_wifi,overall,hotel_name,Latitude,Longitude,value
9.7,9.1,9.6,9.6,9.2,9,8.2,9.1,"Wanderlust, The Unlimited Collection by Oakwood (SG Clean)",1.3050353,103.8546063,2
9.3,9.1,8.8,9.1,8.7,8.1,8.5,8.7,Grand Park City Hall (SG Clean),1.2923835,103.8501646,3
8.2,8.6,7.5,6.8,7.3,6.8,7.5,7.1,Lion Peak Hotel Bugis - Staycation Approved,1.2978929,103.8570701,5
8.1,7.8,8.6,8.1,7.7,8.4,2.5,7.2,ST Signature Jalan Besar (7 hours: 9AM-4PM),1.3054625,103.8548544,6
8.6,8.6,8,7.5,7.6,7.3,7.2,7.5,"Check-Inn at Little India - SG Clean, Staycation Approved",1.3076092,103.8506788,7
9.1,9.1,8.3,8.2,7.8,7.7,9.4,8.4,Century Service World,1.2811261,103.8432686,8
9.3,9,8.8,9.1,8.8,8.3,8.7,8.7,Ascott Orchard Singapore,1.3040188,103.8371582,9
8.2,8.6,8.9,8.6,8,8.2,8.9,8.1,D'Hotel Singapore,1.2842772,103.8349773,10
8.3,8.1,7.6,7.2,7.2,7,6.7,7.4,Rucksack Inn at Tyrwhitt,1.3143551,103.8603635,11
7.9,7.9,7.1,6.8,7,6.6,6.9,6.7,"Harbour Ville Hotel - Hamilton (SG Clean, Staycation Approved)",1.311666,103.8614966,12
7.2,7.6,6.9,5.6,5.7,5.7,7.5,6.4,Joyfor Backpackers' Hostel (SG Clean),1.311202,103.8740079,13
8.4,7.6,7.2,7.7,7.9,7.9,6.6,7,K Space Inn 569,1.315587,103.858168,14
7.3,6.8,7.4,7.1,6.8,7.6,6.2,6.4,"ST Signature Bugis Beach [5 Hours, 9AM-2PM] (SG Clean, Staycation Approved)",1.2972645,103.856638,15
7.3,6.8,7.2,7.1,7.2,8.3,7.5,6.2,K Space Inn 14,1.2875983,103.8490247,16
7.8,6.6,7,6.8,7,8.6,6.8,7,"Tai Hoe Hotel (SG Clean, Staycation Approved)",1.3102778,103.8566667,17
7.7,7.3,7.6,6.8,7.2,6.7,9,6.9,"Q Loft Hotels@Bedok (SG Clean, Staycation Approved)",1.3315894,103.9471647,19
6.3,5,5.1,5.1,5.5,6.4,6.6,5,K Hotel 14 (SG Clean),1.3112033,103.8775632,20
7.5,7.8,7,7,7,6.8,7.4,6.7,J8 Hotel (SG Clean),1.3076071,103.8584645,24
